filename,Greyness_0,Greyness_1,Greyness_2,Greyness_3,Greyness_4,Greyness_5,Greyness_6,Greyness_7,Greyness_8,Greyness_9,Greyness_10,Greyness_11,Greyness_12,Greyness_13,Greyness_14,Greyness_15,Greyness_16,Greyness_17,Greyness_18,Greyness_19,Greyness_20,Greyness_21,Greyness_22,Greyness_23,Greyness_24,Greyness_25,Greyness_26,Greyness_27,Greyness_28,Greyness_29,Greyness_30,Greyness_31,Greyness_32,Greyness_33,Greyness_34,Greyness_35,Greyness_36,Greyness_37,Greyness_38,Greyness_39,Greyness_40,Greyness_41,Greyness_42,Greyness_43,Greyness_44,Greyness_45,Greyness_46,Greyness_47,Greyness_48,Greyness_49,Greyness_50,Greyness_51,Greyness_52,Greyness_53,Greyness_54,Greyness_55,Greyness_56,Greyness_57,Greyness_58,Greyness_59,Greyness_60,Greyness_61,Greyness_62,Greyness_63,Greyness_64,Greyness_65,Greyness_66,Greyness_67,Greyness_68,Greyness_69,Greyness_70,Greyness_71,Greyness_72,Greyness_73,Greyness_74,Greyness_75,Greyness_76,Greyness_77,Greyness_78,Greyness_79,Greyness_80,Greyness_81,Greyness_82,Greyness_83,Greyness_84,Greyness_85,Greyness_86,Greyness_87,Greyness_88,Greyness_89,Greyness_90,Greyness_91,Greyness_92,Greyness_93,Greyness_94,Greyness_95,Greyness_96,Greyness_97,Greyness_98,Greyness_99,Greyness_100,Greyness_101,Greyness_102,Greyness_103,Greyness_104,Greyness_105,Greyness_106,Greyness_107,Greyness_108,Greyness_109,Greyness_110,Greyness_111,Greyness_112,Greyness_113,Greyness_114,Greyness_115,Greyness_116,Greyness_117,Greyness_118,Greyness_119,Greyness_120,Greyness_121,Greyness_122,Greyness_123,Greyness_124,Greyness_125,Greyness_126,Greyness_127,Greyness_128,Greyness_129,Greyness_130,Greyness_131,Greyness_132,Greyness_133,Greyness_134,Greyness_135,Greyness_136,Greyness_137,Greyness_138,Greyness_139,Greyness_140,Greyness_141,Greyness_142,Greyness_143,Greyness_144,Greyness_145,Greyness_146,Greyness_147,Greyness_148,Greyness_149,Greyness_150,Greyness_151,Greyness_152,Greyness_153,Greyness_154,Greyness_155,Greyness_156,Greyness_157,Greyness_158,Greyness_159,Greyness_160,Greyness_161,Greyness_162,Greyness_163,Greyness_164,Greyness_165,Greyness_166,Greyness_167,Greyness_168,Greyness_169,Greyness_170,Greyness_171,Greyness_172,Greyness_173,Greyness_174,Greyness_175,Greyness_176,Greyness_177,Greyness_178,Greyness_179,Greyness_180,Greyness_181,Greyness_182,Greyness_183,Greyness_184,Greyness_185,Greyness_186,Greyness_187,Greyness_188,Greyness_189,Greyness_190,Greyness_191,Greyness_192,Greyness_193,Greyness_194,Greyness_195,Greyness_196,Greyness_197,Greyness_198,Greyness_199,Greyness_200,Greyness_201,Greyness_202,Greyness_203,Greyness_204,Greyness_205,Greyness_206,Greyness_207,Greyness_208,Greyness_209,Greyness_210,Greyness_211,Greyness_212,Greyness_213,Greyness_214,Greyness_215,Greyness_216,Greyness_217,Greyness_218,Greyness_219,Greyness_220,Greyness_221,Greyness_222,Greyness_223,Greyness_224,Greyness_225,Greyness_226,Greyness_227,Greyness_228,Greyness_229,Greyness_230,Greyness_231,Greyness_232,Greyness_233,Greyness_234,Greyness_235,Greyness_236,Greyness_237,Greyness_238,Greyness_239,Greyness_240,Greyness_241,Greyness_242,Greyness_243,Greyness_244,Greyness_245,Greyness_246,Greyness_247,Greyness_248,Greyness_249,Greyness_250,Greyness_251,Greyness_252,Greyness_253,Greyness_254,Greyness_255
CLR001R92 30d_1.1.png,0,158217,8610,4514,4527,4079,4027,4263,4365,4281,4200,4129,4037,3312,3300,2555,2111,1940,1683,1505,1493,1513,1504,1381,1286,1338,1376,1301,1316,1240,1136,1160,1168,1100,1162,1178,1103,1044,1045,1059,1017,1107,1055,1006,1032,1058,993,1027,1009,934,955,987,938,1046,951,1033,998,1042,1083,1172,1273,1492,1627,1906,2303,2840,3619,4799,5932,6970,8494,10233,12691,15078,17590,20133,22703,24787,25525,26986,28895,30703,31348,32922,33957,34304,34299,33185,32781,31471,30616,30127,28730,27387,26094,25294,24641,23085,22378,21453,20659,20483,20984,21377,21261,20708,20146,19995,20067,20278,20282,20462,19788,19169,18698,17747,17278,16558,16313,16279,16762,17230,16506,16065,15714,15611,15645,16731,17258,18287,18678,18243,18301,18297,18890,18827,18416,17715,16652,15731,14929,14486,14132,13763,12889,12143,11283,10565,10101,9573,8973,8124,7600,6984,6671,6219,5787,5683,5343,4850,4283,3970,3522,3068,2696,2385,2322,2093,1993,1718,1425,1245,1142,1002,938,847,813,787,835,739,701,665,691,667,583,598,573,531,537,528,512,487,520,472,481,390,467,451,414,433,436,431,416,422,411,382,367,395,394,382,398,362,352,380,357,376,353,357,351,314,309,342,323,330,303,326,321,275,290,274,306,300,230,262,285,268,276,258,255,254,266,254,217,237,248,203,253,212,209,229,233,226,164,174,302,110
CLR001R92 30d_2.1.png,0,46878,18092,28197,7385,7278,13075,17336,5507,5523,14704,12607,4865,4710,5456,4036,6778,12389,10945,3738,4732,4304,3291,3481,11622,9943,4424,2892,3377,3113,2624,2600,2502,8670,5857,8751,2113,1618,1895,2011,1957,1490,1517,1158,3865,5861,3156,2169,7203,842,952,1024,865,588,570,653,829,1835,6041,3446,2923,2226,6246,3213,1357,1281,922,845,861,887,884,908,1039,3626,5053,2988,3843,3983,6065,7257,6100,5932,7212,8442,9994,11551,13301,15423,17578,22327,25037,26463,26981,28940,29527,29935,33086,28886,27545,27026,27233,27398,27617,27785,27240,27384,28249,30222,29512,31001,34290,39567,41903,41781,42884,43429,39252,37930,36872,35789,34833,33795,32601,31435,30955,30335,29542,28157,27003,26763,26425,26459,26107,25908,25313,25303,25253,24596,24020,24176,24116,23498,23067,23052,21827,21734,21341,20944,20123,20217,19654,19171,18673,18196,17551,17169,16628,16326,16048,15631,15257,15539,15013,14428,13597,13073,12834,12560,12352,11902,11758,11394,11525,11333,11157,11001,10134,10217,10030,9504,9285,9182,8253,8162,7515,7167,6690,6518,6387,6050,5629,5514,4908,4858,4451,4224,3947,4003,3633,3536,3164,3029,2816,2624,2432,2227,1960,1765,1552,1231,974,855,821,739,605,581,574,482,490,465,438,410,423,378,364,330,316,300,313,234,260,232,227,226,215,176,174,159,167,144,143,136,117,113,117,73,99,78,53,82,62,45,33,46,79,47
CLR001R92 30d_3.3.png,0,32672,15795,14620,10486,8239,8082,7421,7165,7678,7636,8188,9039,8235,7340,7368,7299,6296,5055,4474,4131,3726,3482,3146,3141,2879,2814,2824,2687,2414,2341,2294,2337,2268,2107,2138,2154,2067,1970,2050,1925,1955,1844,1991,1970,2028,2096,1983,2075,2058,1967,1946,1922,1964,1987,2037,1987,1995,2055,2057,2007,1967,1974,2023,2089,2147,2179,2250,2435,2484,2910,3166,3542,4049,4495,4844,5440,6151,7260,8873,11209,13357,15415,17481,19860,22219,23962,24690,25528,25853,25912,26034,26162,26657,27366,28515,30477,32625,34266,36373,38526,41547,44056,46706,49121,52032,55383,59230,63871,67966,72413,77599,82801,87377,90642,94202,97231,97970,98141,97145,94155,90211,86793,83614,80118,75681,71202,68140,65023,61819,58809,55131,52180,48414,44704,40961,37500,34272,31116,29667,27200,24881,23076,21710,20521,18857,18043,17048,16036,15096,14122,13236,12514,11729,10995,10352,9804,9631,9090,8450,8090,7680,7119,6648,6182,5984,5573,5216,4956,4803,4405,4098,3842,3579,3442,3392,3237,3045,2831,2678,2639,2438,2139,2107,1912,1804,1645,1618,1508,1467,1368,1301,1235,1241,1151,1154,979,1003,954,930,866,829,798,706,707,727,685,657,655,594,579,549,565,542,479,456,472,387,403,363,398,329,339,307,303,295,251,293,220,212,206,177,191,177,157,159,161,128,125,137,108,122,112,94,124,95,122,64,83,75,59,68,71,73,127,83
CLR001R92_1.1.png,0,33314,16065,9991,8678,7563,6906,6397,4972,4463,4541,4032,4221,3812,3639,3828,3268,3357,3180,3035,3049,3088,2799,2609,2704,2618,2619,2603,2482,2545,2660,2619,2642,2492,2545,2361,2534,2404,2381,2455,2367,2258,2267,2239,2231,2150,2306,2051,2027,2203,2185,2193,2434,2961,3695,4304,4979,5219,5043,4990,4864,4556,4707,4755,4848,4926,4836,5003,5186,5169,5142,5100,5404,5550,5902,6254,6518,6813,6840,7089,7916,8597,9600,10881,12484,15125,17845,19765,21695,24096,26785,29913,32146,33909,35421,37544,38413,39501,40263,41131,42629,44551,46346,48342,49621,50201,50558,50383,51035,52082,54508,57837,60687,62267,62393,61621,60083,59179,58836,57430,56362,55972,55643,54806,54454,53547,52901,52278,51133,50009,48348,46414,44298,42638,40859,38814,36033,33590,31585,29278,27907,25800,24402,22868,21497,20570,20268,19708,18931,17946,17092,16422,15643,15226,14522,14088,13326,12554,11503,10840,10122,9842,9455,8895,8448,7860,7510,7290,6781,6638,6110,5453,5049,4787,4448,4417,4201,4005,3841,3822,3507,3355,3001,2830,2557,2409,2131,2046,1914,1888,1777,1687,1594,1507,1367,1324,1084,942,916,732,767,706,638,604,572,576,527,464,490,460,471,397,369,412,361,399,332,344,291,303,293,268,254,248,233,225,192,172,191,168,166,162,138,127,101,110,116,94,92,93,102,85,65,55,74,51,61,33,20,47,31,43,35,42,65,32
CLR001R92_2.1.png,0,24758,16349,9356,7399,9333,7299,7716,6809,7545,5158,3732,3226,2916,2863,2830,1813,1031,1076,80,39,27,139,266,297,248,123,647,300,51,101,178,277,163,119,123,231,516,341,156,133,173,122,105,65,87,264,489,380,225,99,87,93,83,84,91,189,335,471,233,102,78,106,109,174,339,579,812,924,1145,1213,1617,2024,2497,3054,4093,5057,6022,6836,7568,8224,8751,9521,10759,12642,13959,15112,17440,19886,21868,23941,26903,29309,31681,34453,36351,37550,38195,39227,39799,41404,42300,43713,45316,46692,47078,48071,48829,50472,52158,54511,55510,56556,56907,57274,56696,57137,56528,56164,56161,56440,56266,57246,59105,58926,58296,56136,53519,52152,50506,49648,48820,46672,44478,41658,38950,36659,34359,33499,32910,32635,31996,30467,30081,29589,28318,26874,26055,24769,23960,23047,22114,21554,20538,19554,18724,17568,16345,15762,14684,13847,12960,12130,10705,10176,9727,9118,8682,8332,7954,7631,7521,7401,6900,6596,6347,6176,5898,5673,5521,4969,4508,4115,3777,3583,3429,2937,2625,2423,2084,1640,1394,1286,1226,1039,897,782,686,652,667,655,586,624,513,518,541,465,489,426,417,360,342,321,340,328,345,326,300,254,277,227,207,182,223,165,172,127,137,141,126,126,117,98,85,93,86,74,66,74,69,67,45,47,36,66,29,30,37,28,27,11,11,10,2,5,1
CLR001R92_3.1.png,0,10411,4583,3990,2521,2725,2517,2499,2733,2810,2091,1548,1392,1466,1321,1288,1252,1156,1369,1323,1326,1141,1005,996,951,956,884,880,974,970,946,954,895,842,784,794,772,758,769,746,738,694,767,711,647,664,687,662,647,684,677,633,646,717,619,752,830,1022,1218,1190,1149,1305,1501,1907,2472,2915,2977,2878,3266,3609,3753,4056,4415,4608,4545,4650,4654,4697,5220,5347,5336,5486,5585,5711,5915,6320,6533,6955,7380,7908,8476,8934,10080,11143,11889,12812,13797,15267,16697,18410,20511,22237,24462,26105,28114,29406,31003,31879,33220,34637,35977,37651,39015,40782,42807,44763,46809,48696,50111,52551,55417,58194,60760,64631,67696,70153,71560,74926,78742,82122,83330,83653,81058,78136,75237,71866,67433,62605,57121,51533,47074,43451,40481,38552,36718,34378,32354,29700,28217,27027,25431,24015,22310,21220,19846,18910,18469,17725,17266,16604,16309,15339,14436,14045,13482,12604,12209,11521,11219,10684,10055,9126,8846,8518,8209,7487,6975,6152,5492,4653,4314,3966,3215,2648,2263,1922,1892,1761,1598,1605,1354,1421,1264,1099,1144,1093,1054,1016,963,926,861,838,740,745,739,749,685,726,678,649,610,644,582,583,564,545,525,534,464,462,432,429,455,361,363,346,339,289,313,294,269,261,257,238,246,209,211,210,186,177,178,177,131,156,155,124,127,121,68,89,86,60,41,47,32,10
CLR001R92_3.4.png,0,1999,1143,617,493,587,391,339,284,342,294,261,349,285,275,237,290,382,404,307,262,284,264,226,273,275,266,260,242,217,267,243,370,364,331,340,360,360,455,463,386,387,348,277,262,306,272,278,344,347,383,381,410,411,413,429,553,689,807,976,964,1148,1512,1967,2317,2606,2867,3364,3933,4303,4341,4798,4521,4358,4321,4417,4830,5025,5228,5513,5349,5473,5615,5645,6131,6229,6238,6602,6970,7496,8519,9528,10328,11070,11557,12203,12946,14142,15814,17784,19789,21805,24185,26526,29168,29989,30933,32715,33172,34387,35052,36466,38016,40001,41267,43472,44944,46973,49293,52219,55163,59077,62636,66294,70844,74966,78671,81927,83763,84191,83192,82453,79762,76724,72058,67073,62142,58425,53916,48273,43718,40861,39011,37081,36369,34432,32785,31124,29764,27762,25712,23980,22808,21915,20744,19573,18642,17986,17191,16595,15833,15280,14171,13588,13005,12572,11783,11408,10609,9857,9419,8882,8305,7882,7462,6961,6509,6023,5505,4786,4093,3571,3185,2785,2326,2197,2006,1876,1842,1661,1524,1298,1201,1124,1099,1034,915,871,843,753,742,687,664,610,580,553,514,568,548,521,457,513,438,444,458,376,361,373,351,349,300,298,299,289,283,249,225,241,196,185,193,177,157,155,151,111,137,117,117,136,111,125,112,86,86,78,60,59,55,76,48,57,50,50,59,21
