filename,brightness_0,brightness_1,brightness_2,brightness_3,brightness_4,brightness_5,brightness_6,brightness_7,brightness_8,brightness_9,brightness_10,brightness_11,brightness_12,brightness_13,brightness_14,brightness_15,brightness_16,brightness_17,brightness_18,brightness_19,brightness_20,brightness_21,brightness_22,brightness_23,brightness_24,brightness_25,brightness_26,brightness_27,brightness_28,brightness_29,brightness_30,brightness_31,brightness_32,brightness_33,brightness_34,brightness_35,brightness_36,brightness_37,brightness_38,brightness_39,brightness_40,brightness_41,brightness_42,brightness_43,brightness_44,brightness_45,brightness_46,brightness_47,brightness_48,brightness_49,brightness_50,brightness_51,brightness_52,brightness_53,brightness_54,brightness_55,brightness_56,brightness_57,brightness_58,brightness_59,brightness_60,brightness_61,brightness_62,brightness_63,brightness_64,brightness_65,brightness_66,brightness_67,brightness_68,brightness_69,brightness_70,brightness_71,brightness_72,brightness_73,brightness_74,brightness_75,brightness_76,brightness_77,brightness_78,brightness_79,brightness_80,brightness_81,brightness_82,brightness_83,brightness_84,brightness_85,brightness_86,brightness_87,brightness_88,brightness_89,brightness_90,brightness_91,brightness_92,brightness_93,brightness_94,brightness_95,brightness_96,brightness_97,brightness_98,brightness_99,brightness_100,brightness_101,brightness_102,brightness_103,brightness_104,brightness_105,brightness_106,brightness_107,brightness_108,brightness_109,brightness_110,brightness_111,brightness_112,brightness_113,brightness_114,brightness_115,brightness_116,brightness_117,brightness_118,brightness_119,brightness_120,brightness_121,brightness_122,brightness_123,brightness_124,brightness_125,brightness_126,brightness_127,brightness_128,brightness_129,brightness_130,brightness_131,brightness_132,brightness_133,brightness_134,brightness_135,brightness_136,brightness_137,brightness_138,brightness_139,brightness_140,brightness_141,brightness_142,brightness_143,brightness_144,brightness_145,brightness_146,brightness_147,brightness_148,brightness_149,brightness_150,brightness_151,brightness_152,brightness_153,brightness_154,brightness_155,brightness_156,brightness_157,brightness_158,brightness_159,brightness_160,brightness_161,brightness_162,brightness_163,brightness_164,brightness_165,brightness_166,brightness_167,brightness_168,brightness_169,brightness_170,brightness_171,brightness_172,brightness_173,brightness_174,brightness_175,brightness_176,brightness_177,brightness_178,brightness_179,brightness_180,brightness_181,brightness_182,brightness_183,brightness_184,brightness_185,brightness_186,brightness_187,brightness_188,brightness_189,brightness_190,brightness_191,brightness_192,brightness_193,brightness_194,brightness_195,brightness_196,brightness_197,brightness_198,brightness_199,brightness_200,brightness_201,brightness_202,brightness_203,brightness_204,brightness_205,brightness_206,brightness_207,brightness_208,brightness_209,brightness_210,brightness_211,brightness_212,brightness_213,brightness_214,brightness_215,brightness_216,brightness_217,brightness_218,brightness_219,brightness_220,brightness_221,brightness_222,brightness_223,brightness_224,brightness_225,brightness_226,brightness_227,brightness_228,brightness_229,brightness_230,brightness_231,brightness_232,brightness_233,brightness_234,brightness_235,brightness_236,brightness_237,brightness_238,brightness_239,brightness_240,brightness_241,brightness_242,brightness_243,brightness_244,brightness_245,brightness_246,brightness_247,brightness_248,brightness_249,brightness_250,brightness_251,brightness_252,brightness_253,brightness_254,brightness_255
CLR001R92 30d_1.1.png,0,155690,8380,5227,4266,4385,3794,3439,3453,3536,3246,3274,3456,3516,3489,2904,2834,2258,2121,1684,1649,1387,1325,1245,1238,1172,1107,1124,1110,1068,1111,1016,1022,956,1006,1051,952,923,881,871,936,882,829,905,826,840,852,828,844,779,829,800,719,813,768,763,786,747,767,749,732,743,750,684,725,689,681,700,656,739,654,688,661,697,703,668,723,629,672,599,649,598,636,579,680,629,571,613,602,648,550,623,553,579,562,593,588,606,577,540,585,576,588,524,554,545,598,620,579,559,557,562,547,578,571,596,548,591,475,614,538,642,558,626,588,576,648,577,664,541,599,644,603,711,602,614,675,623,641,707,642,703,688,683,730,686,743,756,756,716,768,920,782,728,889,917,890,974,1132,1178,1307,1540,1859,2082,2474,2865,3471,4030,5238,6207,7787,8650,9797,10500,11326,12289,12598,13433,14341,15616,17163,19076,21574,24353,28937,32804,36541,40841,45168,48844,53019,56546,60618,64347,67130,68655,70201,68816,65398,60346,55115,49580,42494,36972,31544,27475,23933,21055,19369,17603,16590,15372,14342,14008,13524,12936,12615,11972,10906,10439,10124,9888,9629,9405,9808,10665,11145,11301,10905,9629,8470,7798,7783,8141,8628,8263,6444,4323,2699,1666,1149,814,732,702,637,705,624,589,655,638,621,581,598,619,638,5591
CLR001R92 30d_2.1.png,0,44732,15341,28840,7174,6218,7562,23386,4604,6013,4872,21466,3819,3775,3763,5637,4155,7772,16807,3249,3617,3354,4253,3379,3136,12317,11855,2572,2637,2235,3135,2656,2467,2050,2958,11035,9884,2144,1798,1770,1938,2163,1832,1412,1332,1053,1254,5116,7085,8187,954,784,893,1284,1060,1050,777,629,487,503,503,1779,6613,3462,7430,500,692,765,802,721,932,551,564,539,600,547,383,898,3913,4905,2330,7594,584,637,588,623,470,430,358,434,395,424,383,444,955,1178,5282,4246,1598,7717,514,544,520,400,336,333,335,325,331,283,310,342,952,1097,3129,3828,2572,1365,7472,357,448,417,337,319,336,318,327,334,333,323,372,390,357,458,353,423,471,418,440,549,497,588,629,605,696,739,709,870,922,766,864,967,908,1031,1079,1105,1097,1126,1153,1068,1032,1109,1191,1047,1128,1166,1285,1114,1173,1206,1434,1164,1302,1282,1326,1500,1317,1459,1473,1644,1737,1918,2039,2244,2594,2942,2967,3078,3260,3488,3541,4027,4193,4722,4946,5905,6393,7362,8665,9617,10725,12375,14231,16239,18336,21222,23809,26658,29708,33014,36231,39461,41982,43322,43028,42201,42960,43377,42933,42950,42390,41723,42637,43849,44641,43518,40349,36279,32887,30723,30014,29741,30307,31614,32765,35131,36600,37916,39345,42176,44586,47730,52243,56816,60973,63651,64986,65150,63264,58844,55022,50111,43260,36624,31994,107681
CLR001R92 30d_3.3.png,0,28586,17552,14559,9476,8646,7544,6632,6365,6197,6216,6123,6495,6295,6359,6637,7448,7357,6483,5880,4882,4317,3873,3478,3346,2981,2770,2635,2477,2425,2335,2295,2064,2035,1980,1924,1838,1826,1791,1596,1664,1616,1583,1583,1548,1466,1435,1400,1361,1424,1284,1357,1290,1370,1190,1235,1247,1157,1162,1106,1169,1185,1153,1120,1137,1121,1059,1064,1029,1111,921,1054,1071,931,1038,1001,982,1019,1022,879,1007,894,1026,901,987,946,873,919,825,911,909,978,905,883,824,947,844,850,871,843,1005,785,938,825,823,851,894,881,827,854,873,906,863,886,836,942,808,891,923,845,854,908,876,928,887,930,1032,915,939,884,857,980,982,976,900,930,1020,936,944,1069,902,1023,983,956,1062,1060,1058,1054,1136,1070,1189,1215,1240,1155,1311,1241,1270,1223,1289,1349,1334,1436,1306,1285,1366,1384,1473,1354,1576,1382,1596,1502,1712,1689,1551,1880,1847,1949,2139,2111,2235,2460,2389,2438,2864,2724,2946,3141,3215,3647,4039,4376,5088,6010,7092,8257,9478,11361,13644,16377,19783,23742,28978,33873,38167,43020,48517,52661,56523,59160,59863,57475,54910,50865,47807,45178,44286,44508,45834,47807,49751,53334,57995,63801,69862,75573,82198,91027,99815,109309,119421,129473,138346,142801,144826,142629,137109,125371,111154,97158,81850,66495,52754,42213,33946,28100,24703,22525,20891,19056,17488,15476,12864,10204,8337,32031
CLR001R92_1.1.png,0,29937,16775,10274,8439,6965,6831,6811,4935,4406,3881,4023,4089,3596,3318,3287,3368,3168,2859,2887,2736,2678,2638,2495,2484,2446,2296,2334,2195,2180,2262,2089,2213,1998,2206,2053,1958,2014,2079,1981,2117,1845,1962,1855,1951,1831,1849,1840,1730,1800,1813,1659,1576,1582,1620,1708,1481,1628,1620,1509,1509,1480,1459,1457,1408,1491,1489,1487,1340,1508,1360,1397,1436,1312,1447,1430,1456,1411,1372,1295,1355,1372,1439,1337,1472,1338,1426,1392,1350,1421,1328,1337,1386,1429,1325,1428,1282,1417,1410,1191,1596,1162,1473,1179,1391,1441,1134,1413,1126,1388,1134,1535,1039,1548,1069,1472,1071,1437,958,1514,904,1539,988,1158,1411,1069,1545,1043,1646,969,1145,1546,1209,1999,1594,1855,2300,2177,2651,3166,3031,3245,3293,2689,2495,2652,2360,2331,2576,2222,2326,2636,2369,2488,2753,2818,2707,2916,3224,2918,2747,2855,3115,2679,3007,3084,3360,3102,3419,3380,3914,3400,3543,3547,4133,4311,4136,4498,4888,5473,6300,6980,8029,9176,10263,11373,11824,12429,13390,14805,15549,16475,17311,18419,19649,22696,24772,26534,27773,29943,32960,37473,43223,48504,51975,51896,50540,49852,49590,50112,52777,55009,56981,59795,64390,70683,78304,84624,88170,86265,81783,75178,68210,63187,60379,59118,58778,58262,57860,58098,58936,58983,58390,57948,56587,54605,53975,52703,50389,46498,42135,36365,31679,28070,25246,22998,19648,15492,12038,9536,8655,7986,6708,5429,4090,12319
CLR001R92_2.1.png,0,19727,14111,11788,6887,6382,9037,4368,7745,5335,7535,6509,3544,2786,2675,2604,2546,2402,1805,852,293,1175,1195,37,19,4,4,4,3,0,0,0,23,2015,0,0,0,0,0,0,0,0,0,9,1008,976,0,0,0,0,0,0,0,0,0,2,10,1811,0,0,0,0,0,0,0,0,0,1,1,872,825,0,0,0,0,1,0,0,0,1,0,3,931,829,0,0,0,0,1,0,1,0,0,9,2,8,719,778,22,44,57,81,118,108,134,154,151,230,181,280,1018,1047,1052,1089,1009,962,988,1041,1006,1089,999,997,970,1069,979,1002,974,1037,1120,951,984,1023,974,1096,951,961,1139,956,982,1081,983,1056,1083,983,965,1093,1038,1094,1111,1054,1096,1178,1016,1092,1197,1117,1063,1198,1303,1056,1134,1209,1301,1203,1189,1313,1556,1234,1443,1367,1876,1423,1539,1593,1777,1967,1755,2037,2248,2525,2786,2920,3440,3677,4470,5292,5765,6185,6126,6594,6678,6965,7465,7804,8646,10268,12156,14648,17739,20544,23537,26013,29085,32249,36307,41862,47749,55347,62121,67102,69847,69454,67826,66427,65148,63522,62217,61359,59550,55838,51578,47356,44492,44038,44741,47122,50132,54043,59412,66179,73565,82644,90974,97075,99714,100266,96461,91431,85162,78797,73138,67696,61716,55548,48020,39175,30788,24675,20610,17051,13700,10899,8262,6450,4816,17001
CLR001R92_3.1.png,0,8448,5727,3309,2650,2295,2445,2249,2022,1951,2434,2255,1712,1370,1238,1264,1079,1081,987,954,956,970,1096,1146,1114,947,841,756,729,710,740,685,760,736,774,798,744,735,699,666,647,593,619,598,596,587,599,508,527,548,554,492,506,522,505,532,422,519,512,415,435,518,469,438,439,450,468,499,424,492,443,450,460,450,457,449,482,431,416,427,535,407,444,419,505,410,488,400,484,434,447,440,389,446,465,455,494,453,478,461,536,523,466,520,516,559,512,583,587,574,579,674,608,630,676,671,795,750,707,818,753,770,797,838,794,798,853,829,935,895,816,947,952,919,884,898,972,882,995,947,943,972,946,1082,933,951,997,1021,1058,1042,1145,1213,1540,1650,2093,2454,2766,2852,3197,3252,3146,3086,3183,3092,3254,3165,3240,2739,2807,2726,2884,2704,2965,3096,3148,3322,3101,3337,3886,4222,4294,4326,4278,4407,4615,5015,4817,5181,5045,5277,5381,5697,5974,6140,6267,6420,6493,6778,6843,6981,6932,7162,7748,8024,8720,9748,10827,12746,13953,15772,17344,19561,22297,25515,28288,31651,34805,38163,41794,46549,52870,59791,67038,75874,86996,98824,111927,123366,130827,134953,138381,138605,136839,133665,128669,121617,110187,101511,94849,89087,82177,73945,62513,48389,34291,23604,16510,12345,9805,8438,7219,6063,5046,4253,3674,17169
CLR001R92_3.4.png,0,2010,1213,817,500,451,489,417,258,270,255,237,229,212,209,247,320,258,155,231,198,261,393,264,238,221,184,187,192,200,150,199,241,197,231,221,163,145,280,120,363,189,334,334,302,349,139,406,138,371,314,231,541,174,250,284,144,277,227,128,404,123,163,435,149,313,297,223,272,281,174,245,272,197,262,241,226,205,298,208,225,267,246,225,334,295,283,322,338,306,336,394,255,291,407,308,320,387,351,296,365,410,333,328,363,436,288,358,391,446,352,419,462,433,370,367,488,348,300,412,390,380,362,438,359,362,381,440,480,404,411,440,501,479,433,479,529,447,407,502,451,475,492,562,623,568,566,538,669,675,864,1189,1404,1701,2079,2461,2499,2782,2914,2978,2921,2839,2757,2682,2638,2687,2582,2221,2278,2323,2525,2374,2582,2863,3102,3490,3429,3656,3914,4058,4328,4061,4282,4172,4144,4460,4360,4443,4602,4607,4841,5281,5304,5452,5554,5787,6087,6271,6621,6779,6619,6927,7492,8049,8865,9364,10165,11788,12689,14775,17368,20189,22863,26049,29002,32246,35410,39057,42881,47088,53136,60023,69116,79660,94265,108086,122499,135247,145842,149001,146120,138977,133061,127842,120212,111403,102373,95194,89980,84731,79289,72448,61344,47069,33200,23941,16774,12880,9872,7994,6385,5292,4125,3279,2697,9781
