filename,Greyness_0,Greyness_1,Greyness_2,Greyness_3,Greyness_4,Greyness_5,Greyness_6,Greyness_7,Greyness_8,Greyness_9,Greyness_10,Greyness_11,Greyness_12,Greyness_13,Greyness_14,Greyness_15,Greyness_16,Greyness_17,Greyness_18,Greyness_19,Greyness_20,Greyness_21,Greyness_22,Greyness_23,Greyness_24,Greyness_25,Greyness_26,Greyness_27,Greyness_28,Greyness_29,Greyness_30,Greyness_31,Greyness_32,Greyness_33,Greyness_34,Greyness_35,Greyness_36,Greyness_37,Greyness_38,Greyness_39,Greyness_40,Greyness_41,Greyness_42,Greyness_43,Greyness_44,Greyness_45,Greyness_46,Greyness_47,Greyness_48,Greyness_49,Greyness_50,Greyness_51,Greyness_52,Greyness_53,Greyness_54,Greyness_55,Greyness_56,Greyness_57,Greyness_58,Greyness_59,Greyness_60,Greyness_61,Greyness_62,Greyness_63,Greyness_64,Greyness_65,Greyness_66,Greyness_67,Greyness_68,Greyness_69,Greyness_70,Greyness_71,Greyness_72,Greyness_73,Greyness_74,Greyness_75,Greyness_76,Greyness_77,Greyness_78,Greyness_79,Greyness_80,Greyness_81,Greyness_82,Greyness_83,Greyness_84,Greyness_85,Greyness_86,Greyness_87,Greyness_88,Greyness_89,Greyness_90,Greyness_91,Greyness_92,Greyness_93,Greyness_94,Greyness_95,Greyness_96,Greyness_97,Greyness_98,Greyness_99,Greyness_100,Greyness_101,Greyness_102,Greyness_103,Greyness_104,Greyness_105,Greyness_106,Greyness_107,Greyness_108,Greyness_109,Greyness_110,Greyness_111,Greyness_112,Greyness_113,Greyness_114,Greyness_115,Greyness_116,Greyness_117,Greyness_118,Greyness_119,Greyness_120,Greyness_121,Greyness_122,Greyness_123,Greyness_124,Greyness_125,Greyness_126,Greyness_127,Greyness_128,Greyness_129,Greyness_130,Greyness_131,Greyness_132,Greyness_133,Greyness_134,Greyness_135,Greyness_136,Greyness_137,Greyness_138,Greyness_139,Greyness_140,Greyness_141,Greyness_142,Greyness_143,Greyness_144,Greyness_145,Greyness_146,Greyness_147,Greyness_148,Greyness_149,Greyness_150,Greyness_151,Greyness_152,Greyness_153,Greyness_154,Greyness_155,Greyness_156,Greyness_157,Greyness_158,Greyness_159,Greyness_160,Greyness_161,Greyness_162,Greyness_163,Greyness_164,Greyness_165,Greyness_166,Greyness_167,Greyness_168,Greyness_169,Greyness_170,Greyness_171,Greyness_172,Greyness_173,Greyness_174,Greyness_175,Greyness_176,Greyness_177,Greyness_178,Greyness_179,Greyness_180,Greyness_181,Greyness_182,Greyness_183,Greyness_184,Greyness_185,Greyness_186,Greyness_187,Greyness_188,Greyness_189,Greyness_190,Greyness_191,Greyness_192,Greyness_193,Greyness_194,Greyness_195,Greyness_196,Greyness_197,Greyness_198,Greyness_199,Greyness_200,Greyness_201,Greyness_202,Greyness_203,Greyness_204,Greyness_205,Greyness_206,Greyness_207,Greyness_208,Greyness_209,Greyness_210,Greyness_211,Greyness_212,Greyness_213,Greyness_214,Greyness_215,Greyness_216,Greyness_217,Greyness_218,Greyness_219,Greyness_220,Greyness_221,Greyness_222,Greyness_223,Greyness_224,Greyness_225,Greyness_226,Greyness_227,Greyness_228,Greyness_229,Greyness_230,Greyness_231,Greyness_232,Greyness_233,Greyness_234,Greyness_235,Greyness_236,Greyness_237,Greyness_238,Greyness_239,Greyness_240,Greyness_241,Greyness_242,Greyness_243,Greyness_244,Greyness_245,Greyness_246,Greyness_247,Greyness_248,Greyness_249,Greyness_250,Greyness_251,Greyness_252,Greyness_253,Greyness_254,Greyness_255
CLR001R92_1.1 100XSmack.png,0,33864,21582,13930,12148,7017,4927,4065,3147,3141,2906,2871,2533,2259,1968,1994,1895,1922,1863,1689,1657,1621,1619,1545,1631,1620,1553,1488,1463,1359,1430,1347,1287,1332,1347,1312,1380,1419,1376,1329,1507,1462,1545,1772,1910,2078,2813,4472,7333,9031,10057,10665,11521,11743,12363,14048,15268,16349,18013,18823,18633,16766,15340,14289,13466,13263,12898,13520,13625,13912,13910,14440,14963,15041,15235,16222,17258,17680,17860,18135,18743,18635,18293,18244,17902,17185,16605,15648,15502,15682,15957,15894,16429,16593,17231,18202,18248,18272,18437,18015,18147,18626,19425,20201,20377,20785,21230,22384,23959,25720,26913,29178,31495,33751,36559,40215,43888,46667,48302,49251,49396,50545,51651,52622,53951,55245,56274,57197,58940,60039,61223,61298,62220,61141,59942,59115,58387,56590,54583,52329,49191,47317,45393,42854,40254,38132,35458,32920,31242,29735,28957,28226,27079,25909,24723,23647,22791,21874,20490,19999,18722,18059,16820,15910,14891,14256,13196,12304,11553,10994,10221,9432,9020,8123,7943,7746,7379,7386,7612,7841,7354,6652,5672,4605,3814,3534,3151,2671,2466,2431,1988,1800,1567,1512,1394,1243,1052,733,615,555,443,434,415,407,373,313,334,273,270,249,260,214,184,171,146,122,113,96,87,86,58,42,40,35,42,34,32,25,23,27,30,24,18,19,21,25,24,14,16,16,23,21,9,8,7,2,2,3,1,1,0,0,0,0,0,0
CLR001R92_2.1 100XSmack.png,0,496,373,255,205,257,275,485,346,1147,419,197,114,338,277,1037,660,1114,3184,910,619,147,194,122,86,83,130,146,411,721,436,390,208,113,85,90,99,132,245,371,398,294,287,200,146,121,157,305,288,463,739,998,1092,1263,1341,1600,1442,1456,1445,1522,1569,1593,1808,2133,2409,3191,4304,5265,7188,9391,11945,14669,16909,18674,20896,22797,24419,25621,26250,25607,25422,25473,25406,25606,25733,25634,24488,23519,23291,22890,23486,24020,24734,24910,24963,25531,25880,26282,26611,26872,27850,28250,28347,28572,28698,28420,28918,29439,30183,30495,30666,30935,31145,31210,31821,32588,33214,33371,33926,35494,36964,38168,39348,40246,42340,44499,46736,48910,51022,53020,54080,53926,52578,51813,51536,50606,49752,48593,47718,47434,47358,47585,47933,49180,50376,51359,52345,53123,53357,52572,51308,48330,45203,42471,39866,36892,33671,30094,27200,25301,23088,21179,19541,17846,16983,16050,14801,13837,13008,12301,11843,11017,10046,9346,8910,8893,8769,8671,8645,8880,8895,8513,8237,7542,6827,6640,6603,5992,4879,4271,3591,3117,2735,2497,2306,2138,1716,1564,1240,907,719,561,440,379,286,263,271,245,200,202,181,176,129,132,130,134,116,106,100,87,85,71,55,69,54,51,34,33,21,20,18,14,22,22,14,7,7,8,12,4,5,11,6,5,1,4,3,3,1,0,0,0,0,0,0,0
CLR001R92_3.1 100XSmack.png,0,2259,872,524,479,485,393,272,394,194,279,383,236,255,526,212,178,204,295,333,264,279,256,287,456,366,186,172,192,178,197,153,189,199,218,231,319,297,239,399,289,317,360,359,272,216,305,407,565,778,1034,1218,1319,1618,2182,3101,4335,5996,7251,7716,9443,11781,14035,14943,16151,18209,19705,21941,24067,24832,23812,22330,21544,21134,19881,18314,17093,15456,14188,13514,13285,13288,13286,13607,13527,12981,12327,11694,11118,10843,10673,10400,10290,10197,10110,10747,10788,11392,11950,12112,12565,12652,13354,14130,15062,15824,16197,16969,17259,17697,17764,18378,18781,19591,20021,20364,20682,21461,21645,22809,24248,25536,26601,27632,28616,29570,30499,32374,34198,35435,36903,38422,40491,42601,44795,47234,49226,51690,54664,56115,59153,62170,67301,71321,73918,76367,77247,76071,74083,71187,68023,63240,59108,55620,51589,47616,44087,39915,36679,33624,31427,29513,28144,26989,26105,24879,24424,23975,23450,23197,22291,20961,20146,19010,18517,17800,16628,15213,14185,14527,13586,12106,11021,9553,8195,7172,6153,4991,4102,3836,3555,3128,2725,2370,2084,2029,1725,1377,1149,984,798,772,646,582,501,404,422,318,332,279,259,242,209,167,136,118,111,82,86,81,55,50,63,48,43,35,39,28,29,25,15,21,16,16,10,12,17,7,6,6,7,8,5,3,6,0,4,0,1,1,0,0,1,0,0,0
CLR001R92_30d 1.1 100XSmack.png,0,2173,868,78,63,88,115,89,96,102,126,84,101,96,162,149,160,185,176,194,184,199,196,182,207,216,255,252,231,239,252,260,231,225,226,240,237,272,268,237,319,352,390,463,456,593,723,791,889,958,1034,1143,1357,1529,1792,2254,2332,2470,2747,3027,3400,3676,3723,3774,3856,4138,4454,5109,5434,5443,5508,5933,6273,6929,7710,8055,8286,8805,9071,9167,9285,9723,10188,10378,11105,11671,12483,13160,13862,14653,15388,16089,16722,17693,18775,19578,20092,20795,21691,21574,21912,22178,22684,22268,22000,21653,21157,20844,20972,20516,20164,19926,18869,18042,17409,16626,16080,15322,15121,15118,15416,15425,15151,14980,14823,14636,14651,14858,14757,14860,14886,14839,14653,14685,14441,14965,15064,14648,14673,14497,14111,13981,13756,12860,11936,10613,9709,8817,7857,7001,6243,5348,4546,4068,3556,3227,2896,2583,2230,2131,2052,2145,2068,2120,2407,2481,2198,2446,2562,1903,1173,854,769,754,746,710,693,603,633,567,582,570,573,541,512,549,467,503,500,479,446,425,411,438,402,393,370,329,375,317,336,299,348,311,302,282,316,264,291,250,260,233,244,228,209,197,218,173,163,183,142,169,149,146,147,141,139,133,121,106,101,119,79,85,90,63,100,79,82,64,72,57,47,44,51,37,45,49,39,30,32,25,16,34,35,8
CLR001R92_30d 2.1 100XSmack.png,0,1566,620,601,326,515,288,329,445,305,239,197,166,318,408,350,226,248,195,238,186,217,200,191,185,252,266,226,171,136,145,153,184,289,311,422,446,647,538,528,501,485,495,548,580,659,788,809,838,835,897,1085,1344,1682,2245,3313,5003,6754,7752,8410,9481,10394,11266,11022,10871,11676,11839,11816,12175,12784,14494,16857,18878,20784,22817,23867,24715,24745,24101,24112,23421,22751,21996,21570,21190,20822,21504,21407,21700,22151,21828,21877,22202,22223,22119,22088,21552,21345,21526,21694,21328,20941,21020,20886,20727,20592,20487,20539,20736,21036,21782,21819,22486,22281,23277,23993,24810,25932,27183,29265,30047,31315,31772,32465,33405,35173,36971,37800,39350,40565,40868,41750,41075,40814,39525,39526,38859,36792,35800,34846,34578,34635,34006,33922,33238,32780,32477,32815,32512,32324,31263,31107,31566,31229,30567,30155,29349,28180,26755,25213,24327,23548,22368,20758,19677,18726,17766,16678,15853,14739,14348,14056,13200,12425,11943,11662,11141,10880,10322,9534,8953,8208,7456,6616,6100,5785,5338,4830,4629,4312,3735,3388,3068,2869,2419,2337,2101,1999,1756,1563,1446,1350,1294,1113,1056,942,909,827,778,745,665,630,609,544,476,403,391,374,318,319,345,309,248,225,233,207,193,178,163,160,160,139,132,113,113,101,83,87,77,81,63,67,55,51,52,26,56,30,32,34,38,29,20,23,38,28
CLR001R92_30d 3.3 100XSmack.png,0,8467,5009,4472,3015,2412,1993,1766,1682,1669,1587,1376,1496,1394,1324,1299,1330,1244,1150,1091,1013,1102,911,942,959,849,940,933,827,822,719,870,860,1015,1238,1509,1841,1862,1954,1885,1851,1931,2062,2039,1908,1826,1876,1686,1666,1687,1727,1699,1694,1700,1736,1755,1770,1834,1965,2086,2440,2538,2523,2680,2761,2807,2847,2895,2867,3179,3193,3620,4019,4232,4711,5094,5360,5788,5960,6302,6595,8033,9689,11396,12933,14331,16102,17965,19734,21716,23614,25690,27647,29537,30548,32227,33014,34243,35117,35790,36230,37289,37608,38054,38600,39209,38864,38983,39418,39518,40232,41528,42092,42508,43718,44478,44544,45216,45995,48022,50526,51750,52789,54301,56717,58533,61455,64887,68352,72106,75940,79162,81485,82730,84578,86637,87597,87366,84880,81628,79050,75684,71091,67805,63645,60946,57483,53803,50585,47172,44302,42228,40126,38240,35402,32759,30039,26946,24196,21939,19963,18298,16646,15077,13964,12708,11390,10500,9725,8865,8477,7898,7163,6705,6333,5746,5458,5094,4811,4746,4530,4278,4137,4095,3858,3739,3519,3390,3196,3158,3127,2875,2688,2750,2594,2511,2246,2172,1953,1854,1772,1660,1478,1261,1269,1155,1027,988,953,926,927,855,809,814,664,734,653,643,582,578,548,518,475,426,444,380,416,434,328,328,332,275,258,295,260,240,243,207,205,223,198,144,112,154,134,117,135,114,83,100,91,77,57,61,94,27
